Maneuver_Type,R1_km,R2_km,Rb_km,Phase_Angle,Payload_kg,Delta_V_ms,Propellant_kg
Phasing,266.68313511433706,0,0,27.162814349618703,4063.0462563962647,604.52
Phasing,675.6372233241445,0,0,38.79903771884505,2442.630256074226,538.92
Hohmann,636.7235396745536,11284.969598969501,0,0,3709.0329195668664,5162.36
Bi-Elliptic,390.497916988492,23206.13349475486,96549.22970822944,0,1157.1094840963701,3710.11
Hohmann,297.102691014053,8519.081844497845,0,0,2563.2654323076363,3192.59
Bi-Elliptic,973.6728746363063,25050.94471550373,74220.4497801876,0,3927.7048642558366,11069.6
Bi-Elliptic,466.00682561526384,26516.44127417396,93282.96611007079,0,2232.236070783204,6917.95
Hohmann,959.6744305290483,5846.90484195721,0,0,3819.7247657383796,2720.82
Bi-Elliptic,343.75992650961973,5464.4748756401,58083.36768812596,0,2930.37143369987,10858.99
Hohmann,444.2832629040614,14776.446650952636,0,0,4862.815936916228,8474.03
Phasing,460.5699276527959,0,0,27.66317905676847,4732.074226417613,708.13
Hohmann,348.439433473852,24687.00902857535,0,0,1932.956334520069,4422.94
Hohmann,311.9547270372894,23523.833446336215,0,0,3393.7661759109383,7674.91
Bi-Elliptic,594.8043093579495,28162.280722105643,66718.32967819039,0,2093.435893322202,6009.76
Bi-Elliptic,416.4539479154961,26949.59551925151,97886.28584195799,0,3283.4988958771523,10282.68
Hohmann,896.7182414018763,16476.96638179086,0,0,4578.721717233244,7667.17
Bi-Elliptic,211.82587475930274,27454.7251253042,93119.08874112664,0,4232.097482863056,13506.18
Hohmann,410.9311108750622,29403.245601083563,0,0,1901.0301602989423,4575.27
Phasing,436.7633620450344,0,0,6.020124615305519,2626.059008742267,76.0
Hohmann,276.03877102821485,4909.525040617752,0,0,2995.882821770043,2363.55
Bi-Elliptic,232.00015986585402,24964.745937857977,58133.18177235518,0,3023.4589423589596,9031.11
Phasing,481.5312865345239,0,0,13.213151263658933,1386.504708314051,91.21
Hohmann,576.3635564526134,10526.570940760681,0,0,4276.650897466182,5753.47
Phasing,875.9256008368789,0,0,33.87241665945349,4019.845492625975,740.1
Hohmann,523.9319080609173,33180.75933942199,0,0,2303.01248675817,5637.23
Bi-Elliptic,303.14496750205507,15392.00614733199,95507.44628963221,0,1506.614521825366,5228.64
Hohmann,895.0337750255583,19266.04791701642,0,0,3273.855605271128,5986.05
Bi-Elliptic,737.7001680769756,34713.98106992646,84174.74321325897,0,3384.7891367394927,9668.6
Phasing,741.8113669656473,0,0,5.501361331162121,3366.9247504658674,86.85
Phasing,375.01033376285386,0,0,19.93549898955036,4892.797709383171,508.15
Phasing,941.91306194865,0,0,40.71661369759064,684.1387146693614,157.03
Hohmann,930.7416212320791,2860.5887508465294,0,0,1571.9144327105626,482.91
Phasing,367.136723367414,0,0,2.072130064885862,1657.9485692751964,16.26
Hohmann,404.37587586361207,21050.15807039621,0,0,2510.749637771212,5311.4
Phasing,364.8622972448117,0,0,27.940400386312447,3008.3246142100948,458.89
Hohmann,547.4030870677036,26855.25187426917,0,0,2452.7854480977,5574.34
Phasing,486.9649697732705,0,0,7.848096278704114,4890.904416518615,185.61
Bi-Elliptic,534.0492470191047,32801.938052675134,58634.389993022225,0,784.3509443514619,2190.48
Phasing,744.5114655639213,0,0,23.440781252913958,2250.530101220369,272.55
Phasing,985.3818204740635,0,0,28.57966773150592,1769.7764462233063,264.38
Bi-Elliptic,341.9949294163124,13288.997984818607,61675.09764965587,0,720.4125661923198,2333.13
Hohmann,903.363603110029,8810.582077454663,0,0,2983.032525088442,3176.15
Bi-Elliptic,963.3783868930651,10758.112050363006,71928.55994912882,0,3983.7183351248304,12783.99
Phasing,759.570499273632,0,0,43.963450069739054,1749.800280739363,448.8
Phasing,417.4378779534305,0,0,32.05508467028261,2735.2448649914636,488.45
Bi-Elliptic,546.1623981489618,7009.2717767928425,74022.83396733776,0,2905.2503174174553,10731.89
Phasing,332.29395477017715,0,0,25.088410765778782,4639.430292856007,626.6
Hohmann,906.6647654845685,19174.168921229524,0,0,2493.358667994752,4536.48
Bi-Elliptic,501.4352339195699,14303.755587188045,99452.29745410067,0,2118.515215807958,7313.28
Phasing,866.3132991103375,0,0,8.150883255329044,4047.28576908339,155.45
Bi-Elliptic,549.5711967044978,12020.470846597656,84343.4357589331,0,2643.857813679609,9089.77
Phasing,781.9745975506004,0,0,31.254714225645962,927.5188672673108,156.25
Hohmann,500.7822499590958,9462.956529450435,0,0,4942.167730386475,6273.42
Hohmann,994.4126757370033,19488.565379827865,0,0,3303.946447636805,5954.82
Phasing,252.86135613092054,0,0,14.85757776624516,1904.623331612108,144.68
Bi-Elliptic,527.2370607173061,28567.11853026817,71428.67297081792,0,646.0313346283817,1891.49
Hohmann,953.7093548158969,26292.93733320455,0,0,4926.661491629524,10296.34
Phasing,387.89493622621904,0,0,40.08753083690026,860.4863557785004,202.34
Phasing,242.41659490767952,0,0,29.618094182907413,4927.020352824487,812.61
Bi-Elliptic,221.418910990354,9018.957929815926,51862.50621576989,0,3386.8797431795083,11342.31
Phasing,906.780541940366,0,0,40.74587618744644,2827.1950773769677,651.26
Bi-Elliptic,436.181224860754,8747.59357584839,80850.78148882219,0,3633.6571389058495,13343.08
Hohmann,821.94055137965,24800.68189907036,0,0,2117.201720241668,4426.44
Hohmann,860.5413640804662,19144.232926307635,0,0,4361.679471314334,8005.64
Hohmann,910.2119124299278,21903.079761315566,0,0,3261.317479683243,6340.32
Bi-Elliptic,419.203217032617,14457.041268659097,44056.71272441667,0,4365.484115268389,12555.72
